4 | 0 | 1 | native | native | 22168 | 10242
4 | 1 | 1 | native | native | 13230 | 7786
4 | 0 | 1 | native | tremont | 22139 | 10240
4 | 1 | 1 | native | tremont | 12647 | 7807
4 | 0 | 1 | native | alderlake | 22185 | 10240
4 | 1 | 1 | native | alderlake | 12506 | 7777
4 | 0 | 1 | native | znver4 | 22505 | 10283
4 | 1 | 1 | native | znver4 | 12674 | 7785
4 | 0 | 1 | tremont | native | 22185 | 10228
4 | 1 | 1 | tremont | native | 12819 | 7827
4 | 0 | 1 | tremont | tremont | 22210 | 10241
4 | 1 | 1 | tremont | tremont | 12537 | 7830
4 | 0 | 1 | tremont | alderlake | 22290 | 10238
4 | 1 | 1 | tremont | alderlake | 12593 | 7820
4 | 0 | 1 | tremont | znver4 | 22430 | 10280
4 | 1 | 1 | tremont | znver4 | 12728 | 7787
4 | 0 | 1 | alderlake | native | 22301 | 10277
4 | 1 | 1 | alderlake | native | 12486 | 7849
4 | 0 | 1 | alderlake | tremont | 22273 | 10266
4 | 1 | 1 | alderlake | tremont | 12527 | 7844
4 | 0 | 1 | alderlake | alderlake | 22240 | 10267
4 | 1 | 1 | alderlake | alderlake | 12353 | 7850
4 | 0 | 1 | alderlake | znver4 | 22610 | 10264
4 | 1 | 1 | alderlake | znver4 | 12763 | 7754
4 | 0 | 2 | native | native | 22769 | 10594
4 | 1 | 2 | native | native | 12735 | 8100
4 | 0 | 2 | native | tremont | 22077 | 10520
4 | 1 | 2 | native | tremont | 12719 | 8098
4 | 0 | 2 | native | alderlake | 22090 | 10535
4 | 1 | 2 | native | alderlake | 12362 | 8092
4 | 0 | 2 | native | znver4 | 22400 | 10547
4 | 1 | 2 | native | znver4 | 12390 | 8028
4 | 0 | 2 | tremont | native | 22496 | 10538
4 | 1 | 2 | tremont | native | 12888 | 8086
4 | 0 | 2 | tremont | tremont | 22458 | 10542
4 | 1 | 2 | tremont | tremont | 12662 | 8095
4 | 0 | 2 | tremont | alderlake | 22448 | 10535
4 | 1 | 2 | tremont | alderlake | 12884 | 8093
4 | 0 | 2 | tremont | znver4 | 22308 | 10578
4 | 1 | 2 | tremont | znver4 | 12285 | 8027
4 | 0 | 2 | alderlake | native | 22385 | 10542
4 | 1 | 2 | alderlake | native | 13081 | 8064
4 | 0 | 2 | alderlake | tremont | 22378 | 10550
4 | 1 | 2 | alderlake | tremont | 12813 | 8076
4 | 0 | 2 | alderlake | alderlake | 22407 | 10548
4 | 1 | 2 | alderlake | alderlake | 12728 | 8091
4 | 0 | 2 | alderlake | znver4 | 22622 | 10556
4 | 1 | 2 | alderlake | znver4 | 12936 | 8037
4 | 0 | 3 | native | native | 22151 | 10499
4 | 1 | 3 | native | native | 12837 | 8026
4 | 0 | 3 | native | tremont | 22265 | 10391
4 | 1 | 3 | native | tremont | 12576 | 8025
4 | 0 | 3 | native | alderlake | 22287 | 10404
4 | 1 | 3 | native | alderlake | 12592 | 8027
4 | 0 | 3 | native | znver4 | 22258 | 10508
4 | 1 | 3 | native | znver4 | 12432 | 7970
4 | 0 | 3 | tremont | native | 22267 | 10437
4 | 1 | 3 | tremont | native | 12767 | 8029
4 | 0 | 3 | tremont | tremont | 22254 | 10444
4 | 1 | 3 | tremont | tremont | 12807 | 8020
4 | 0 | 3 | tremont | alderlake | 22258 | 10436
4 | 1 | 3 | tremont | alderlake | 12724 | 8026
4 | 0 | 3 | tremont | znver4 | 22247 | 10534
4 | 1 | 3 | tremont | znver4 | 12504 | 7943
4 | 0 | 3 | alderlake | native | 21793 | 10417
4 | 1 | 3 | alderlake | native | 12692 | 8010
4 | 0 | 3 | alderlake | tremont | 21923 | 10418
4 | 1 | 3 | alderlake | tremont | 12498 | 8035
4 | 0 | 3 | alderlake | alderlake | 21771 | 10421
4 | 1 | 3 | alderlake | alderlake | 12566 | 8021
4 | 0 | 3 | alderlake | znver4 | 21922 | 10462
4 | 1 | 3 | alderlake | znver4 | 12692 | 7966
